# Derived from google/mozc symbol.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
㈢	かっこさん	括弧漢数字	1404
㈣	かっこよん	括弧漢数字	1403
㈤	かっこご	括弧漢数字	1402
㈥	かっころく	括弧漢数字	1401
㈦	かっこしち|かっこなな	括弧漢数字	1400
㈧	かっこはち	括弧漢数字	1399
㈨	かっこきゅう	括弧漢数字	1398
㈩	かっこじゅう	括弧漢数字	1397
㈪	げつよう|げつようび	月曜日	976
㈫	かよう|かようび	火曜日	975
㈬	すいよう|すいようび	水曜日	974
㈭	もくよう|もくようび	木曜日	973
㈮	きんよう|きんようび	金曜日	972
㈯	どよう|どようび	土曜日	971
㈰	にちよう|にちようび	日曜日	970
㈱	かぶ|かぶしき|かぶしきがいしゃ	株式会社	1396
㈲	ゆう|ゆうげん|ゆうげんがいしゃ	有限会社	1395
㈳	かっこしゃ|しゃだんほうじん	(社)	967
㈴	かっこめい|なまえ	(名)	966
㈵	かっことく|とくしゅほうじん	(特)	965
㈶	かっこざい|ざいだんほうじん	(財)	964
㈷	かっこしゅく|しゅくじつ	祝日	969
㈸	かっころう|ろうどうくみあい	(労)	963
㈹	だい|だいひょう	代表	1394
㈺	かっこよび|よびだし	(呼)	962
㈻	かっこがく|がっこうほうじん	(学)	961
㈼	かっこかん|かんさほうじん	(監)	960
㈽	かっこき	(企)	959
㈾	かっこし	(資)	958
㈿	かっこきょう	(協)	957
㉀	かっこさい|さいじつ	(祭)	956
㉁	かっこきゅう|きゅうじつ|やすみ	(休)	968
㉂	かっこじ|かっこより	(自)	955
㉃	いたる|かっこいたる	(至)	954
㉑	きごう|まるにじゅういち	丸数字	1436
㉒	きごう|まるにじゅうに	丸数字	1435
㉓	きごう|まるにじゅうさん	丸数字	1434
㉔	きごう|まるにじゅうし|まるにじゅうよん	丸数字	1433
㉕	きごう|まるにじゅうご	丸数字	1432
㉖	きごう|まるにじゅうろく	丸数字	1431
㉗	きごう|まるにじゅうしち|まるにじゅうなな	丸数字	1430
㉘	きごう|まるにじゅうはち	丸数字	1429
㉙	きごう|まるにじゅうきゅう|まるにじゅうく	丸数字	1428
㉚	きごう|まるさんじゅう	丸数字	1427
㉛	きごう|まるさんじゅういち	丸数字	1426
㉜	きごう|まるさんじゅうに	丸数字	1425
㉝	きごう|まるさんじゅうさん	丸数字	1424
㉞	きごう|まるさんじゅうし|まるさんじゅうよん	丸数字	1423
㉟	きごう|まるさんじゅうご	丸数字	1422
㊙	まるひ	丸秘	953
㊚	おとこ|まるおとこ	丸男	952
㊛	おんな|まるおんな	丸女	951
㊜	まるてき	丸適	950
㊝	まるゆう	丸優	949
㊞	いんかん|まるいん	丸印	948
㊟	まるちゅう	丸注	947
㊠	まるこう	丸項	946
㊡	まるきゅう	丸休	945
㊢	まるしゃ	丸写	944
㊣	まるせい	丸正	943
㊤	うえ|じょう	丸上	1390
㊥	ちゅう|なか	丸中	1389
㊦	げ|した	丸下	1388
㊧	ひだり	丸左	1387
㊨	みぎ	丸右	1386
㊩	まるい	丸医	942
㊪	まるしゅう	丸宗	941
㊫	まるがく	丸学	940
㊬	まるかん	丸監	939
㊭	まるき	丸企	938
㊮	まるし	丸資	937
㊯	まるきょう	丸協	936
㊰	まるよる	丸夜	935
㊱	きごう|まるさんじゅうろく	丸数字	1421
㊲	きごう|まるさんじゅうしち|まるさんじゅうなな	丸数字	1420
㊳	きごう|まるさんじゅうはち	丸数字	1419
㊴	きごう|まるさんじゅうきゅう|まるさんじゅうく	丸数字	1418
㊵	きごう|まるよんじゅう	丸数字	1417
㊶	きごう|まるよんじゅういち	丸数字	1416
㊷	きごう|まるよんじゅうに	丸数字	1415
㊸	きごう|まるよんじゅうさん	丸数字	1414
㊹	きごう|まるよんじゅうし|まるよんじゅうよん	丸数字	1413
㊺	きごう|まるよんじゅうご	丸数字	1412
㊻	きごう|まるよんじゅうろく	丸数字	1411
㊼	きごう|まるよんじゅうしち|まるよんじゅうなな	丸数字	1410
㊽	きごう|まるよんじゅうはち	丸数字	1409
㊾	きごう|まるよんじゅうきゅう|まるよんじゅうく	丸数字	1408
㊿	きごう|まるごじゅう	丸数字	1407
㋐	まるあ	丸ア	934
㋑	まるい	丸イ	933
㋒	まるう	丸ウ	932
㋓	まるえ	丸エ	931
㋔	まるお	丸オ	930
㋕	まるか	丸カ	929
㋖	まるき	丸キ	928
㋗	まるく	丸ク	927
㋘	まるけ	丸ケ	926
㋙	まるこ	丸コ	925
㋚	まるさ	丸サ	924
㋛	まるし	丸シ	923
㋜	まるす	丸ス	922
㋝	まるせ	丸セ	921
㋞	まるそ	丸ソ	920
㋟	まるた	丸タ	919
㋠	まるち	丸チ	918
㋡	まるつ	丸ツ	917
㋢	まるて	丸テ	916
㋣	まると	丸ト	915
㋤	まるな	丸ナ	914
㋥	まるに	丸ニ	913
㋦	まるぬ	丸ヌ	912
㋧	まるね	丸ネ	911
㋨	まるの	丸ノ	910
㋩	まるは	丸ハ	909
㋪	まるひ	丸ヒ	908
㋫	まるふ	丸フ	907
㋬	まるへ	丸ヘ	906
㋭	まるほ	丸ホ	905
㋮	まるま	丸マ	904
㋯	まるみ	丸ミ	903
㋰	まるむ	丸ム	902
㋱	まるめ	丸メ	901
㋲	まるも	丸モ	900
㋳	まるや	丸ヤ	899
㋴	まるゆ	丸ユ	898
㋵	まるよ	丸ヨ	897
㋶	まるら	丸ラ	896
㋷	まるり	丸リ	895
㋸	まるる	丸ル	894
㋹	まるれ	丸レ	893
㋺	まるろ	丸ロ	892
㋻	まるわ	丸ワ	891
㋼	まるうぃ|まるゐ	丸ヰ	890
㋽	まるうぇ|まるゑ	丸ヱ	889
㋾	まるを	丸ヲ	888
㋿	ねんごう|れいわ	年号	1385
㌂	あんぺあ	単位	1113
㌃	あーる|たんい	単位	1112
㌄	いにんぐ|たんい	単位	1111
㌅	いんち|たんい	単位	1110
㌆	うぉん|たんい	単位	1109
㌇	えすくーど|たんい	単位	1108
㌈	えーかー|たんい	単位	1107
㌉	おんす|たんい	単位	1106
㌊	おーむ|たんい	単位	1105
㌋	かいり|たんい	単位	1104
㌌	からっと|たんい	単位	1103
㌍	かろりー|たんい	単位	1102
㌎	がろん|たんい	単位	1101
㌏	がんま|たんい	単位	1100
㌐	ぎが|たんい	単位	1099
㌑	ぎにー|たんい	単位	1098
㌒	きゅりー|たんい	単位	1097
㌓	ぎるだー|たんい	単位	1096
㌔	きろ|たんい	単位	1095
㌕	きろぐらむ|たんい	単位	1094
㌖	きろめーとる|たんい	単位	1093
㌗	きろわっと|たんい	単位	1092
㌘	ぐらむ|たんい	単位	1091
㌙	ぐらむとん|たんい	単位	1090
㌚	くるぜいろ|たんい	単位	1089
㌛	くろーね|たんい	単位	1088
㌜	けーす|たんい	単位	1087
㌝	こるな|たんい	単位	1086
㌟	さいくる|たんい	単位	1085
㌠	さんちーむ|たんい	単位	1084
㌡	しりんぐ|たんい	単位	1083
㌢	せんち|たんい	単位	1082
㌣	せんと|たんい	単位	1081
㌤	たんい|だーす	単位	1080
㌥	たんい|でし	単位	1079
㌦	たんい|どる	単位	1078
㌧	たんい|とん	単位	1077
㌨	たんい|なの	単位	1076
㌩	たんい|のっと	単位	1075
㌫	たんい|ぱーせんと	単位	1074
㌬	たんい|ぱーつ	単位	1073
㌭	たんい|ばーれる	単位	1072
㌮	たんい|ぴあすとる	単位	1071
㌯	たんい|ぴくる	単位	1070
㌰	たんい|ぴこ	単位	1069
㌲	たんい|ふぁらっど	単位	1068
㌳	たんい|ふぃーと	単位	1067
㌴	たんい|ぶっしぇる	単位	1066
㌵	たんい|ふらん	単位	1065
㌶	たんい|へくたーる	単位	1064
㌷	たんい|ぺそ	単位	1063
㌸	たんい|ぺにひ	単位	1062
㌹	たんい|へるつ	単位	1061
㌺	たんい|ぺんす	単位	1060
㌻	たんい|ぺーじ	単位	1059
㌽	たんい|ぽいんと	単位	1058
㌾	たんい|ぼると	単位	1057
㌿	たんい|ほん	単位	1056
㍀	たんい|ぽんど	単位	1055
㍂	たんい|ほーん	単位	1054
㍃	たんい|まいくろ	単位	1053
㍄	たんい|まいる	単位	1052
㍅	たんい|まっは	単位	1051
㍆	たんい|まるく	単位	1050
㍈	たんい|みくろん	単位	1049
㍉	たんい|みり	単位	1048
㍊	たんい|みりばーる	単位	1047
㍋	たんい|めが	単位	1046
㍌	たんい|めがとん	単位	1045
㍍	たんい|めーとる	単位	1044
㍎	たんい|やーど	単位	1043
㍏	たんい|やーる	単位	1042
㍐	たんい|ゆあん	単位	1041
㍑	たんい|りっとる	単位	1040
㍒	たんい|りら	単位	1039
㍓	たんい|るぴー	単位	1038
㍔	たんい|るーぶる	単位	1037
㍕	たんい|れむ	単位	1036
㍖	たんい|れんとげん	単位	1035
㍗	たんい|わっと	単位	1034
㍻	ねんごう|へいせい	年号	1384
㍼	しょうわ|ねんごう	年号	1383
㍽	たいしょう|ねんごう	年号	1382
㍾	ねんごう|めいじ	年号	1381
㎎	たんい|みりぐらむ	単位	1380
㎏	きろぐらむ|たんい	単位	1379
㎜	たんい|みりめーとる	単位	1378
㎝	せんちめーとる|たんい	単位	1377
㎞	きろめーとる|たんい	単位	1376
㎡	たんい|へいべい|へいほうめーとる	単位	1375
㎥	たんい|りっぽうめーとる|りゅうべい|りゅーべ|りゅーべー	単位	1374
㏄	しーしー|たんい	単位	1373
㓁	あみがしら|あみめ|ぶしゅ|よんがしら	部首	528
㣺	したごころ|ぶしゅ	部首	614
丨	いちぼう|こん|たて|たてぼう|ぶしゅ	部首	683
丶	てん|ぶしゅ	部首	682
丿	の|ぶしゅ	部首	681
乙	おつにょう|つりばり|ぶしゅ	部首	685
乚	おつ|おつにょう|つりばり|ぶしゅ	部首	684
亀	ぶしゅ	部首	417
亅	かぎ|はねぼう|ぶしゅ	部首	680
二	ぶしゅ	部首	679
亠	なべぶた|ぶしゅ	部首	678
人	ぶしゅ	部首	677
亻	にんべん|ぶしゅ	部首	676
儿	にんにょう|ひとあし|ぶしゅ	部首	674
入	いりがしら|いりやね|いる|ぶしゅ	部首	673
八	はちがしら|ぶしゅ	部首	672
冂	けいがまえ|どうがまえ|ぶしゅ	部首	670
冖	ぶしゅ|べきかんむり|わかんむり	部首	671
冫	にすい|ぶしゅ	部首	669
几	かぜがまえ|きにょう|つくえ|ぶしゅ	部首	668
凵	うけばこ|かんにょう|ぶしゅ	部首	667
刀	ぶしゅ	部首	666
刂	ぶしゅ|りっとう	部首	665
力	ぶしゅ	部首	664
勹	つつみがまえ|ぶしゅ	部首	663
匕	さじ|さじのひ|ひ|ぶしゅ	部首	662
匚	はこがまえ|ぶしゅ	部首	661
匸	かくしがまえ|ぶしゅ	部首	660
十	ぶしゅ	部首	659
卜	ぶしゅ|ぼくのと	部首	658
卩	ふしづくり|ぶしゅ|まげわりふ	部首	657
厂	がんだれ|ぶしゅ	部首	655
厶	ぶしゅ|む	部首	654
又	ぶしゅ	部首	653
口	くちへん|ぶしゅ	部首	652
囗	くにがまえ|ぶしゅ	部首	651
土	つちへん|ぶしゅ	部首	650
士	さむらい|さむらいかんむり|ぶしゅ	部首	649
夂	ふゆがしら|ぶしゅ	部首	648
夊	すいにゅう|すいにょう|なつあし|ぶしゅ	部首	647
夕	ぶしゅ	部首	646
大	だいがしら|ぶしゅ	部首	645
女	おんなへん|ぶしゅ	部首	644
子	こども|こどもへん|ぶしゅ	部首	643
宀	うかんむり|ぶしゅ	部首	642
寸	ぶしゅ	部首	641
小	しょうがしら|なおがしら|ぶしゅ	部首	640
尢	おうにょう|だいのまげあし|ぶしゅ|まげあし	部首	639
尣	おうにょう|だいのまげあし|ぶしゅ|まげあし	部首	638
尸	かばねだれ|ぶしゅ	部首	637
屮	てつ|ぶしゅ|めばえ	部首	636
山	ぶしゅ|やまへん	部首	635
巛	さんぽがわ|ぶしゅ|まがりがわ	部首	633
川	ぶしゅ	部首	634
工	たくみへん|ぶしゅ	部首	632
己	ぶしゅ	部首	631
已	おのれ|ぶしゅ	部首	629
巳	おのれ|ぶしゅ	部首	630
巾	はばへん|ぶしゅ	部首	628
干	いちじゅう|かん|ぶしゅ|ほす	部首	627
幺	いとがしら|ぶしゅ	部首	626
广	ぶしゅ|まだれ	部首	625
廴	えんにょう|ぶしゅ	部首	624
廾	こまぬき|ぶしゅ	部首	623
弋	しきがまえ|ぶしゅ|よく	部首	622
弓	ぶしゅ|ゆみへん	部首	621
彐	いのこがしら|けいがしら|ぶしゅ	部首	620
彑	いのこがしら|けいがしら|ぶしゅ	部首	619
彡	かみかざり|さん|さんづくり|せん|ぶしゅ	部首	618
彳	ぎょうにんべん|ぶしゅ	部首	617
心	ぶしゅ	部首	616
忄	ぶしゅ|りっしんべん	部首	615
戈	ぶしゅ|ほこがまえ|ほこづくり	部首	613
戸	とだれ|ぶしゅ	部首	612
手	てへん|ぶしゅ	部首	611
扌	て|てへん|ぶしゅ	部首	610
支	えだにょう|しにょう|ぶしゅ	部首	609
攴	ぶしゅ	部首	608
攵	ぶしゅ	部首	607
文	ぶしゅ|ぶんにょう	部首	606
斉	せい|ぶしゅ	部首	423
斗	とます|ぶしゅ|ます	部首	605
斤	おの|おのづくり|ぶしゅ	部首	604
方	かたへん|ぶしゅ|ほうへん	部首	603
无	すでのつくり|ぶしゅ|む|むにょう	部首	602
旡	すでのつくり|ぶしゅ|む|むにょう	部首	601
日	ひへん|ぶしゅ	部首	600
曰	いわく|ひらび|ぶしゅ	部首	599
月	つきへん|にく|にくづき|ぶしゅ	部首	515
木	きへん|ぶしゅ	部首	598
欠	あくび|かける|ぶしゅ	部首	597
止	とめへん|とめる|ぶしゅ	部首	596
歯	はへん|ぶしゅ	部首	421
歹	かばね|かばねへん|ぶしゅ	部首	595
殳	ぶしゅ|ほこ|ほこづくり|るまた	部首	594
毋	なかれ|ぶしゅ	部首	593
毌	なかれ|ぶしゅ	部首	592
比	くらべる|ならびひ|ぶしゅ	部首	591
毛	ぶしゅ	部首	590
氏	ぶしゅ	部首	589
气	きがまえ|ぶしゅ	部首	588
水	ぶしゅ	部首	587
氵	さんずい|ぶしゅ	部首	586
氺	したみず|ぶしゅ	部首	585
濵	まゆはま	濱の異体字	397
火	ひへん|ぶしゅ	部首	584
灬	ぶしゅ|れっか|れんが	部首	583
爪	そうにょう|ぶしゅ	部首	582
爫	つめかんむり|ぶしゅ	部首	581
父	ぶしゅ	部首	580
爻	こう|ぶしゅ	部首	579
爿	しょうへん|ぶしゅ	部首	578
片	かたへん|ぶしゅ	部首	577
牙	ぶしゅ	部首	576
牛	ぶしゅ	部首	575
牜	うしへん|ぶしゅ	部首	574
犬	ぶしゅ	部首	573
犭	けものへん|ぶしゅ	部首	572
玄	ぶしゅ	部首	571
玉	ぎょくへん|たまへん|ぶしゅ	部首	570
玊	ぎょくへん|たま|たまへん|ぶしゅ	部首	568
王	ぎょくへん|たま|たまへん|ぶしゅ	部首	569
瓜	ぶしゅ	部首	567
瓦	ぶしゅ	部首	566
甘	あまい|かん|ぶしゅ	部首	565
生	いきる|うまれる|ぶしゅ	部首	564
用	ぶしゅ|もちいる	部首	563
甩	ぶしゅ|もちいる|よう	部首	562
疋	ひき|ぶしゅ	部首	561
疒	ぶしゅ|やまいだれ	部首	557
癶	はつがしら|ぶしゅ	部首	555
白	しろへん|ぶしゅ	部首	554
皮	けがわ|ひのかわ|ぶしゅ	部首	553
皿	ぶしゅ	部首	551
目	ぶしゅ|めへん	部首	548
矛	ぶしゅ|ほこへん	部首	547
矢	ぶしゅ|やへん	部首	546
石	いしへん|ぶしゅ	部首	545
示	しめす|しめすへん|ねへん|ぶしゅ	部首	544
礻	しめす|しめすへん|ねへん|ぶしゅ	部首	543
禸	ぐうのあし|ぶしゅ	部首	542
禾	のぎへん|ぶしゅ	部首	541
穴	あなかんむり|ぶしゅ	部首	540
立	たつへん|ぶしゅ	部首	539
竜	ぶしゅ	部首	419
竹	たけかんむり|ぶしゅ	部首	538
米	こめへん|ぶしゅ	部首	536
糸	いとへん|ぶしゅ	部首	535
糹	いと|いとへん|ぶしゅ	部首	534
缶	ぶしゅ|ほとぎ|ほとぎへん	部首	533
网	あみがしら|あみめ|ぶしゅ|よんがしら	部首	532
罒	あみがしら|あみめ|ぶしゅ|め|よんがしら	部首	531
罓	あみがしら|あみめ|ぶしゅ|よんがしら	部首	530
羊	ひつじへん|ぶしゅ	部首	527
羽	ぶしゅ	部首	525
老	おいかんむり|おいがしら|ぶしゅ	部首	524
耂	おいかんむり|おいがしら|ぶしゅ	部首	523
而	しこうして|ぶしゅ	部首	522
耒	すきへん|ぶしゅ|らいすき	部首	521
耳	ぶしゅ|みみへん	部首	520
聿	ふでづくり|ぶしゅ	部首	519
肀	ふでづくり|ぶしゅ	部首	518
肉	ぶしゅ	部首	516
臣	ぶしゅ	部首	514
自	ぶしゅ|みずから	部首	513
至	いたるへん|ぶしゅ	部首	512
臼	ぶしゅ	部首	511
舌	ぶしゅ	部首	509
舛	ぶしゅ	部首	508
舟	ふねへん|ぶしゅ	部首	507
艮	こん|こんづくり|ねづくり|ぶしゅ	部首	506
色	ぶしゅ	部首	505
艸	くさかんむり|ぶしゅ	部首	504
艹	くさかんむり|ぶしゅ	部首	503
虍	とらがしら|ぶしゅ	部首	502
虫	ぶしゅ|むしへん	部首	501
血	ちへん|ぶしゅ	部首	500
行	ぎょうがまえ|ぶしゅ|ゆきがまえ	部首	499
衣	ぶしゅ	部首	498
衤	ころもへん|ぶしゅ	部首	497
襾	にし|ぶしゅ	部首	496
西	ぶしゅ	部首	494
覀	にし|ぶしゅ	部首	495
見	ぶしゅ	部首	493
角	つのへん|ぶしゅ	部首	492
言	ごんべん|ぶしゅ	部首	491
訁	ごんべん|ぶしゅ	部首	490
谷	ぶしゅ	部首	489
豆	ぶしゅ	部首	488
豕	いのこへん|ぶしゅ	部首	487
豸	ぶしゅ|むじなへん	部首	486
貝	かいへん|ぶしゅ	部首	485
赤	あかへん|ぶしゅ	部首	484
走	そうにょう|はしる|ぶしゅ	部首	483
足	あしへん|ぶしゅ	部首	482
身	ぶしゅ|みへん	部首	480
車	くるまへん|ぶしゅ	部首	479
辛	からい|しん|ぶしゅ	部首	478
辰	しんのたつ|ぶしゅ	部首	549
辵	しんにゅう|しんにょう|ぶしゅ	部首	559
辶	しんにゅう|しんにょう|ぶしゅ	部首	558
邑	おおざと|ぶしゅ	部首	556
酉	とりへん|ひよみのとり|ぶしゅ	部首	552
釆	のごめ|のごめへん|ぶしゅ	部首	550
里	さとへん|ぶしゅ	部首	477
金	かねへん|ぶしゅ	部首	476
釒	かね|かねへん|ぶしゅ	部首	475
長	ながい|ぶしゅ	部首	474
镸	ながい|ぶしゅ	部首	473
門	かどがまえ|ぶしゅ|もんがまえ	部首	472
阜	こざとへん|ぶしゅ	部首	471
阝	おおざと|こざとへん|ぶしゅ	部首	470
隶	ぶしゅ|れいづくり	部首	469
隹	ふるとり|ぶしゅ	部首	468
雨	あめかんむり|ぶしゅ	部首	467
靑	ぶしゅ	部首	466
青	ぶしゅ	部首	465
非	あらず|ぶしゅ	部首	464
面	ぶしゅ	部首	463
革	かわへん|つくりがわ|ぶしゅ	部首	462
韋	なめしがわ|ぶしゅ	部首	461
韭	にら|ぶしゅ	部首	460
音	おとへん|ぶしゅ	部首	459
頁	おおがい|ぶしゅ	部首	458
風	ふうにょう|ぶしゅ	部首	457
飛	とぶ|ぶしゅ	部首	456
食	しょくへん|ぶしゅ	部首	455
飠	しょくへん|ぶしゅ	部首	453
首	ぶしゅ	部首	452
香	ぶしゅ	部首	451
馬	うまへん|ぶしゅ	部首	450
骨	ぶしゅ|ほねへん	部首	449
高	たかい|ぶしゅ	部首	448
髙	はしごだか	高の異体字	396
髟	かみがしら|ぶしゅ	部首	447
鬥	たたかいがまえ|とうがまえ|ぶしゅ	部首	446
鬯	ちょう|においざけ|ぶしゅ	部首	445
鬲	ぶしゅ	部首	444
鬼	きにょう|ぶしゅ	部首	443
魚	うおへん|ぶしゅ	部首	442
鳥	ぶしゅ	部首	441
鹵	しお|ぶしゅ|ろ	部首	440
鹿	ぶしゅ	部首	439
麥	ばくにょう|ぶしゅ	部首	438
麦	ばくにょう|ぶしゅ	部首	437
麻	あさかんむり|ぶしゅ	部首	436
黃	き|ぶしゅ	部首	435
黄	ぶしゅ	部首	434
黍	ぶしゅ	部首	433
黑	くろ|ぶしゅ	部首	432
黒	ぶしゅ	部首	431
黹	ち|ぬいとり|ふつへん|ぶしゅ	部首	430
黽	おおがえる|ぶしゅ|べんあし	部首	429
鼎	てい|ぶしゅ	部首	428
鼓	ぶしゅ	部首	427
鼠	ぶしゅ	部首	426
鼻	はなへん|ぶしゅ	部首	425
齊	せい|ぶしゅ	部首	424
齒	は|はへん|ぶしゅ	部首	422
龍	ぶしゅ	部首	420
龜	ぶしゅ	部首	418
龠	ぶしゅ|やく|やくのふえ	部首	416
﨑	たつさき	崎の異体字	395
︙	きごう|さんてん|さんてんりーだ|さんてんりーだー|たてさんてんりーだ|たてさんてんりーだー|たてりーだ|たてりーだー|てん	三点リーダ (縦)	1974
︰	きごう|たてにてんりーだ|たてにてんりーだー|たてりーだ|たてりーだー|てん|など|にてんりーだ|にてんりーだー	二点リーダ (縦)	1973
﹅	けんてん|ごま|ぼうてん|わきてん	圏点	1883
﹆	けんてん|しろごま|ぼうてん|わきてん	圏点	1882
！	えくすくらめーしょん|かんたんふ|びっくり	感嘆符	2014
！！	えくすくらめーしょん|かんたんふ|びっくり	感嘆符	2013
！？	えくすくらめーしょん|かんたんふ|ぎもんふ|くえすちょん|はてな|びっくり	疑問符	2015
＃	いげた|しゃーぷ|なんばー|はっしゅ	井げた／ハッシュ	1914
＄	たんい|だら|だらー|つうか|どる	通貨記号	1919
％	たんい|ぱーせんと	パーセント	1915
＆	あんど|あんぱさんど	アンパサンド	1913
（）	かっこ|まるかっこ	丸括弧	1964
＊	あすたりすく|あすてりすく|ほし	アスタリスク	1912
＋	すうがく|たす|ぷらす	加算記号	1948
，	かんま|こんま|てん	カンマ	2023
．	てん|どっと|ぴりおど	ピリオド	2022
／	きごう|しゃせん|すらっしゅ|ななめ	スラッシュ	1983
：	ころん|てん	コロン	2020
；	せみころん|てん	セミコロン	2019
＜	しょうなり|すうがく|ふとうごう	不等号	1939
＝	いこーる|すうがく|とうごう	等号	1942
＞	すうがく|だいなり|ふとうごう	不等号	1938
？	ぎもんふ|くえすちょん|はてな	疑問符	2018
？！	ぎもんふ|くえすちょん|はてな	疑問符	2016
？？	ぎもんふ|くえすちょん|はてな	疑問符	2017
＠	あっと|あっとまーく	アットマーク	1911
Ａ	えい|えー	英数字	1348
Ｂ	びぃ|びい|びー	英数字	1347
Ｃ	しー	英数字	1346
Ｄ	でぃー|でー	英数字	1345
Ｅ	いー	英数字	1344
Ｆ	えふ	英数字	1343
Ｇ	じー	英数字	1342
Ｈ	えいち|えっち	英数字	1341
Ｉ	あい	英数字	1340
Ｊ	じぇい|じぇー	英数字	1339
Ｋ	けい|けー	英数字	1338
Ｌ	える	英数字	1337
Ｍ	えむ	英数字	1336
Ｎ	えぬ	英数字	1335
Ｏ	おー	英数字	1334
Ｐ	ぴー	英数字	1333
Ｑ	きゅう|きゅー	英数字	1332
Ｒ	あーる	英数字	1331
Ｓ	えす	英数字	1330
Ｔ	てぃ|てぃー|てー	英数字	1329
Ｕ	ゆー	英数字	1328
Ｖ	ぶぃ|ぶい|ゔぃ	英数字	1327
Ｗ	だぶりゅー|だぶる|だぶるー	英数字	1326
Ｘ	えっくす	英数字	1325
Ｙ	わい	英数字	1324
Ｚ	ぜっと	英数字	1323
［］	かくかっこ|かっこ	角括弧	1962
＼	きごう|ぎゃくしゃせん|しゃせん|すらっしゅ|ななめ|ばっくすらっしゅ	バックスラッシュ	1982
＾	きごう	ハット	2002
＿	あんだーすこあ|あんだーばー|あんだーらいん|きごう|した	アンダーライン	2000
｀	きごう|ぐらーぶ	グラーブアクセント	2006
ａ	えい|えー	英数字	1322
ｂ	びぃ|びい|びー	英数字	1321
ｃ	しー	英数字	1320
ｄ	でぃー|でー	英数字	1319
ｅ	いー	英数字	1318
ｆ	えふ	英数字	1317
ｇ	じー	英数字	1316
ｈ	えいち|えっち	英数字	1315
ｉ	あい	英数字	1314
ｊ	じぇい|じぇー	英数字	1313
ｋ	けい|けー	英数字	1312
ｌ	える	英数字	1311
ｍ	えむ	英数字	1310
ｎ	えぬ	英数字	1309
ｏ	おー	英数字	1308
ｐ	ぴー	英数字	1307
ｑ	きゅう|きゅー	英数字	1306
ｒ	あーる	英数字	1305
ｓ	えす	英数字	1304
ｔ	てぃ|てぃー|てー	英数字	1303
ｕ	ゆー	英数字	1302
ｖ	ぶぃ|ぶい|ゔぃ	英数字	1301
ｗ	だぶりゅー|だぶる|だぶるー	英数字	1300
ｘ	えっくす	英数字	1299
ｙ	わい	英数字	1298
ｚ	ぜっと	英数字	1297
｛｝	かっこ|なみかっこ	波括弧	1959
｜	きごう|たてせん|たてぼう	縦線	1977
￣	うえ|おーばーらいん|きごう	オーバーライン	2001
￤	たて|たてぼう	縦線	1372
￥	えん|たんい|つうか	通貨記号	1921
𓃗	うま|ひえろぐりふ	ヒエログリフ 馬	415
𓃟	ひえろぐりふ|ぶた	ヒエログリフ 豚	414
𓃠	ねこ|ひえろぐりふ	ヒエログリフ 猫	413
𓃡	いぬ|ひえろぐりふ	ヒエログリフ 犬	412
𓃬	ひえろぐりふ|らいおん	ヒエログリフ ライオン	411
𓃭	ひえろぐりふ|らいおん	ヒエログリフ ライオン	410
𓃰	ぞう|ひえろぐりふ	ヒエログリフ 象	409
𓃱	きりん|ひえろぐりふ	ヒエログリフ キリン	408
𓃹	うさぎ|のうさぎ|ひえろぐりふ	ヒエログリフ ウサギ	407
𓅓	ひえろぐりふ|ふくろう	ヒエログリフ ふくろう	406
𓆉	かめ|ひえろぐりふ	ヒエログリフ カメ	405
𓆏	かえる|ひえろぐりふ	ヒエログリフ カエル	404
𓆛	さかな|てぃらぴあ|ひえろぐりふ	ヒエログリフ 魚	403
𓆜	さかな|ばーべる|ひえろぐりふ	ヒエログリフ 魚	402
𓆝	さかな|ひえろぐりふ|ぼら	ヒエログリフ 魚	401
𓆞	えれふぁんとのーずふぃっしゅ|さかな|ひえろぐりふ	ヒエログリフ 魚	400
𓆟	さかな|ひえろぐりふ	ヒエログリフ 魚	399
𓆡	さかな|ひえろぐりふ|ふぐ	ヒエログリフ 魚	398
𛀀	え|へんたいがな	変体仮名	373
𛀁	いぇ|え|へんたいがな	江の変体仮名	372
𛀂	あ|へんたいがな	安の変体仮名	371
𛀃	あ|へんたいがな	愛の変体仮名	370
𛀄	あ|へんたいがな	阿の変体仮名	369
𛀅	あ|へんたいがな|を	惡の変体仮名	368
𛀆	い|へんたいがな	以の変体仮名	367
𛀇	い|へんたいがな	伊の変体仮名	366
𛀈	い|へんたいがな	意の変体仮名	365
𛀉	い|へんたいがな	移の変体仮名	364
𛀊	う|へんたいがな	宇の変体仮名	363
𛀋	う|へんたいがな	宇の変体仮名	362
𛀌	う|へんたいがな	憂の変体仮名	361
𛀍	う|へんたいがな	有の変体仮名	360
𛀎	う|へんたいがな	雲の変体仮名	359
𛀏	え|へんたいがな	盈の変体仮名	358
𛀐	え|へんたいがな	縁の変体仮名	357
𛀑	え|へんたいがな	衣の変体仮名	356
𛀒	え|へんたいがな	衣の変体仮名	355
𛀓	え|へんたいがな	要の変体仮名	354
𛀔	お|へんたいがな	於の変体仮名	353
𛀕	お|へんたいがな	於の変体仮名	352
𛀖	お|へんたいがな	隱の変体仮名	351
